Date,Gold,Copper,Silver,GCR,GSR,Gold_Z_Score,Copper_Z_Score,Silver_Z_Score,GCR_Z_Score,GSR_Z_Score,Corr_Gold_Copper,Corr_Gold_Silver,Corr_Gold_GCR,Corr_Gold_GSR
2016-03-07,1263.2,2.2805,15.623,553.9136,80.8551,2.2848,-0.432,0.3662,1.4596,2.128,0.4087,0.9288,0.8376,0.7801
2016-03-08,1262.1,2.2185,15.384,568.8979,82.0398,2.2339,-0.6425,0.1159,1.7459,2.5266,0.4441,0.9307,0.8293,0.7882
2016-03-09,1256.6,2.23,15.355,563.4977,81.8365,2.1015,-0.5971,0.0864,1.6205,2.4126,0.4758,0.932,0.8186,0.7935
2016-03-10,1272.0,2.2175,15.546,573.6189,81.8217,2.361,-0.6354,0.287,1.8048,2.3702,0.5147,0.9336,0.8124,0.8026
2016-03-11,1258.7,2.2385,15.607,562.2961,80.6497,2.0824,-0.5566,0.3508,1.5631,1.9247,0.5502,0.9349,0.7999,0.8077
2016-03-14,1244.4,2.237,15.518,556.2807,80.1907,1.7949,-0.5565,0.2568,1.4302,1.742,0.5659,0.935,0.7863,0.8079
2016-03-15,1230.4,2.231,15.255,551.5016,80.6555,1.5206,-0.572,-0.0191,1.3236,1.8852,0.577,0.9365,0.7737,0.8069
2016-03-16,1229.3,2.2315,15.214,550.8851,80.8006,1.4875,-0.5651,-0.0609,1.3003,1.9136,0.5832,0.9348,0.7577,0.8066
2016-03-17,1264.5,2.289,16.022,552.4246,78.9227,2.1119,-0.3592,0.7886,1.3196,1.2444,0.613,0.935,0.7342,0.7864
2016-03-18,1253.8,2.2795,15.806,550.0329,79.3243,1.8961,-0.3877,0.5627,1.2615,1.373,0.6401,0.9372,0.7135,0.7747
2016-03-21,1243.8,2.2895,15.841,543.2627,78.5178,1.7011,-0.347,0.6069,1.1183,1.0843,0.6563,0.9387,0.6872,0.7558
2016-03-22,1248.2,2.2845,15.877,546.3778,78.6169,1.7671,-0.3588,0.6524,1.171,1.1118,0.6776,0.941,0.6592,0.7347
2016-03-23,1223.7,2.2305,15.263,548.6214,80.1743,1.3198,-0.5443,0.0056,1.2061,1.6484,0.6927,0.9447,0.6385,0.7286
2016-03-24,1221.4,2.2245,15.191,549.0672,80.4029,1.2743,-0.5596,-0.0645,1.2053,1.7157,0.6991,0.9432,0.6165,0.7231
2016-03-28,1219.9,2.2415,15.194,544.2338,80.2883,1.2449,-0.4928,-0.0534,1.1007,1.6632,0.7165,0.9416,0.5888,0.7184
2016-03-29,1235.6,2.2085,15.237,559.4748,81.0921,1.5193,-0.6053,0.0013,1.3918,1.9307,0.7471,0.9392,0.5561,0.7098
2016-03-30,1226.9,2.187,15.206,560.9968,80.6853,1.3567,-0.6766,-0.0266,1.4103,1.7715,0.7749,0.9364,0.5188,0.7003
2016-03-31,1234.2,2.1815,15.46,565.7575,79.8318,1.4777,-0.6902,0.2595,1.4916,1.4594,0.785,0.934,0.4905,0.6939
2016-04-01,1222.2,2.161,15.042,565.5715,81.2525,1.2621,-0.758,-0.1962,1.4746,1.9422,0.7987,0.9303,0.457,0.6847
2016-04-04,1218.0,2.138,14.942,569.6913,81.5152,1.1849,-0.8349,-0.3016,1.5418,2.0119,0.8074,0.9258,0.4295,0.6812
2016-04-05,1228.4,2.135,15.114,575.363,81.2756,1.3673,-0.839,-0.1007,1.6373,1.9095,0.8035,0.9243,0.4241,0.6731
2016-04-06,1222.5,2.1405,15.052,571.1282,81.2184,1.2608,-0.8123,-0.164,1.54,1.8703,0.8007,0.9201,0.4098,0.6774
2016-04-07,1236.2,2.0745,15.156,595.9026,81.5651,1.4966,-1.0462,-0.0398,2.0016,1.9675,0.7832,0.9153,0.4158,0.6869
2016-04-08,1242.5,2.0865,15.382,595.4949,80.7762,1.5979,-0.9946,0.2229,1.9708,1.6771,0.7626,0.9104,0.4221,0.6972
2016-04-11,1256.7,2.0885,15.974,601.7237,78.6716,1.8345,-0.9798,0.9058,2.066,0.9447,0.7356,0.9054,0.4362,0.6605
2016-04-12,1259.4,2.145,16.22,587.1329,77.6449,1.8669,-0.765,1.1893,1.7666,0.5861,0.7183,0.891,0.4258,0.6211
2016-04-13,1246.8,2.1675,16.323,575.2249,76.383,1.637,-0.6756,1.3058,1.5242,0.1481,0.6975,0.8696,0.4368,0.5746
2016-04-14,1225.0,2.171,16.169,564.2561,75.7623,1.256,-0.6565,1.1299,1.3034,-0.0686,0.6781,0.8448,0.4265,0.5174
2016-04-15,1233.1,2.152,16.309,573.0019,75.6086,1.3898,-0.7209,1.2904,1.4582,-0.1246,0.6536,0.8187,0.4408,0.4715
2016-04-18,1233.6,2.164,16.249,570.0554,75.9185,1.393,-0.6699,1.2211,1.3903,-0.0199,0.6316,0.7915,0.4302,0.4312
2016-04-19,1253.0,2.223,16.968,563.6527,73.8449,1.714,-0.4426,2.0282,1.2579,-0.7347,0.6113,0.7476,0.408,0.3516
2016-04-20,1253.2,2.242,17.131,558.9652,73.1539,1.7065,-0.3654,2.1916,1.1591,-0.969,0.5869,0.7077,0.3909,0.266
2016-04-21,1249.0,2.252,17.086,554.6181,73.1008,1.6233,-0.3223,2.1175,1.0677,-0.9828,0.5711,0.6812,0.3643,0.1876
2016-04-22,1228.7,2.269,16.896,541.5161,72.7214,1.2739,-0.2523,1.8876,0.8113,-1.107,0.5544,0.6409,0.3155,0.1403
2016-04-25,1238.9,2.2585,17.005,548.5499,72.855,1.4366,-0.2862,1.9882,0.9382,-1.0557,0.5365,0.5951,0.2672,0.1095
2016-04-26,1242.2,2.2485,17.106,552.4571,72.6178,1.4851,-0.3182,2.0857,1.005,-1.1347,0.5277,0.5473,0.2018,0.0781
2016-04-27,1249.2,2.2205,17.286,562.576,72.2666,1.5954,-0.4197,2.2678,1.1892,-1.252,0.5101,0.5068,0.1579,0.0452
2016-04-28,1265.5,2.2245,17.553,568.8919,72.0959,1.8551,-0.3979,2.5362,1.2997,-1.3086,0.4942,0.4795,0.1044,-0.0041
2016-04-29,1289.2,2.279,17.789,565.6867,72.4718,2.2216,-0.1782,2.7484,1.2303,-1.1776,0.519,0.5168,0.0198,-0.1138
2016-05-02,1294.7,2.2615,17.656,572.4961,73.3292,2.2809,-0.2392,2.5693,1.3532,-0.8861,0.5539,0.5588,-0.0569,-0.2046
2016-05-03,1290.7,2.2145,17.474,582.8404,73.864,2.1887,-0.4194,2.353,1.5423,-0.7071,0.5565,0.5903,-0.1009,-0.2824
2016-05-04,1273.3,2.183,17.277,583.2799,73.6991,1.8897,-0.5404,2.1316,1.5408,-0.7675,0.5347,0.6144,-0.0776,-0.3304
2016-05-05,1271.4,2.151,17.302,591.0739,73.4828,1.8425,-0.6657,2.1417,1.68,-0.845,0.4874,0.6371,-0.0174,-0.3772
2016-05-06,1292.9,2.151,17.507,601.0693,73.8505,2.1594,-0.661,2.3295,1.8599,-0.7213,0.4058,0.6684,0.0917,-0.4292
2016-05-09,1265.6,2.104,17.07,601.5209,74.1418,1.7131,-0.8534,1.869,1.8546,-0.625,0.4081,0.6762,0.1168,-0.4421
2016-05-10,1263.9,2.09,17.075,604.7369,74.0205,1.6724,-0.9092,1.8623,1.9024,-0.67,0.3861,0.6818,0.159,-0.4526
2016-05-11,1274.6,2.101,17.302,606.6635,73.6678,1.8238,-0.8599,2.0797,1.9252,-0.7955,0.3095,0.6935,0.2377,-0.4773
2016-05-12,1270.3,2.073,17.087,612.7834,74.3431,1.7461,-0.9797,1.8634,2.0257,-0.5698,0.2346,0.7014,0.2963,-0.4955
2016-05-13,1271.9,2.075,17.115,612.9639,74.3149,1.7609,-0.9699,1.8986,2.0107,-0.5896,0.1733,0.7065,0.349,-0.5048
2016-05-16,1273.4,2.091,17.142,608.9909,74.2854,1.7738,-0.8975,1.9345,1.9174,-0.6114,0.1218,0.7109,0.3944,-0.5118
2016-05-17,1276.2,2.092,17.235,610.0382,74.047,1.8061,-0.8916,2.0407,1.9206,-0.7097,0.0585,0.7159,0.4312,-0.5247
2016-05-18,1273.7,2.0815,17.12,611.9144,74.3984,1.7549,-0.9372,1.9212,1.9391,-0.593,0.0025,0.7173,0.4663,-0.5286
2016-05-19,1254.2,2.063,16.479,607.9496,76.109,1.4506,-1.021,1.2699,1.8464,0.0151,-0.0153,0.7157,0.473,-0.5255
2016-05-20,1252.4,2.0585,16.519,608.4042,75.8157,1.416,-1.041,1.3188,1.84,-0.0999,-0.0355,0.7134,0.4848,-0.521
2016-05-23,1251.1,2.0575,16.41,608.0681,76.2401,1.3894,-1.0437,1.2132,1.8179,0.0476,-0.0597,0.701,0.4867,-0.5016
2016-05-24,1228.9,2.0695,16.238,593.815,75.6805,1.0497,-0.9844,1.0391,1.5336,-0.1667,-0.0402,0.6885,0.4684,-0.4769
2016-05-25,1223.5,2.105,16.255,581.2351,75.2692,0.9646,-0.8072,1.0605,1.2827,-0.3273,-0.025,0.6699,0.4577,-0.4405
2016-05-26,1220.1,2.1065,16.338,579.2072,74.6787,0.9104,-0.7962,1.1505,1.2354,-0.5561,0.0006,0.6555,0.4428,-0.4092
2016-05-27,1213.8,2.114,16.246,574.1722,74.7138,0.8135,-0.7541,1.0585,1.1298,-0.5514,0.024,0.6569,0.4338,-0.3983
2016-05-31,1214.8,2.0975,15.972,579.1657,76.0581,0.8261,-0.8338,0.7765,1.2185,-0.0506,0.0321,0.6701,0.4354,-0.4096
2016-06-01,1211.9,2.0725,15.906,584.7527,76.1914,0.781,-0.9592,0.7138,1.3182,-0.0076,0.0537,0.6799,0.4282,-0.4141
2016-06-02,1209.8,2.0695,16.005,584.5857,75.5889,0.7474,-0.9718,0.8221,1.3061,-0.2454,0.0837,0.6926,0.4104,-0.4214
2016-06-03,1240.1,2.112,16.346,587.1686,75.8657,1.194,-0.7438,1.1809,1.3474,-0.1435,0.0817,0.7084,0.4123,-0.4417
2016-06-06,1244.6,2.117,16.428,587.9074,75.7609,1.2528,-0.7127,1.2632,1.3529,-0.1886,0.0701,0.739,0.4174,-0.4901
